HOST PLANET GAIAMAG
"AU Mic" AUMicb 7.84038
"AU Mic" AUMicc 7.84038
"EPIC 206042996" EPIC206042996c 15.9752
"EPIC 206042996" EPIC206042996b 15.9752
"EPIC 212737443" EPIC212737443b 14.4776
"EPIC 212737443" EPIC212737443c 14.4776
"GJ 143" HD21749c 7.67906
"GJ 143" GJ143b 7.67906
"GJ 9827" GJ9827b 9.83773
"GJ 9827" GJ9827c 9.83773
"GJ 9827" GJ9827d 9.83773
"HD 219134" HD219134b 5.2402
"HD 219134" HD219134c 5.2402
"HD 73583" HD73583b 9.27033
"HD 73583" HD73583c 9.27033
K2-117 K2-117b 13.8012
K2-117 K2-117c 13.8012
K2-133 K2-133b 13.3245
K2-133 K2-133c 13.3245
K2-133 K2-133d 13.3245
K2-133 K2-133e 13.3245
K2-136 K2-136b 10.8545
K2-136 K2-136c 10.8545
K2-136 K2-136d 10.8545
K2-141 K2-141b 10.7217
K2-141 K2-141c 10.7217
K2-146 K2-146b 14.9834
K2-146 K2-146c 14.9834
K2-148 K2-148b 13.0599
K2-148 K2-148c 13.0599
K2-148 K2-148d 13.0599
K2-154 K2-154b 13.3173
K2-154 K2-154c 13.3173
K2-155 K2-155b 12.2528
K2-155 K2-155c 12.2528
K2-155 K2-155d 12.2528
K2-16 K2-16b 14.3234
K2-16 K2-16c 14.3234
K2-199 K2-199b 11.9053
K2-199 K2-199c 11.9053
K2-21 K2-21b 12.2785
K2-21 K2-21c 12.2785
K2-239 K2-239b 13.4367
K2-239 K2-239c 13.4367
K2-239 K2-239d 13.4367
K2-240 K2-240b 12.6212
K2-240 K2-240c 12.6212
K2-247 K2-247b 14.3583
K2-247 K2-247c 14.3583
K2-254 K2-254b 13.7427
K2-254 K2-254c 13.7427
K2-264 K2-264b 15.6625
K2-264 K2-264c 15.6625
K2-266 K2-266b 11.3527
K2-266 K2-266c 11.3527
K2-266 K2-266d 11.3527
K2-266 K2-266e 11.3527
K2-3 K2-3b 11.4785
K2-3 K2-3c 11.4785
K2-3 K2-3d 11.4785
K2-316 K2-316b 15.514
K2-316 K2-316c 15.514
K2-32 K2-32b 12.0036
K2-32 K2-32c 12.0036
K2-32 K2-32d 12.0036
K2-343 K2-343b 15.1312
K2-343 K2-343c 15.1312
K2-35 K2-35b 13.9152
K2-35 K2-35c 13.9152
K2-368 K2-368b 13.2207
K2-368 K2-368c 13.2207
K2-368 K2-368d 13.2207
K2-381 K2-381b 12.6373
K2-381 K2-381c 12.6373
K2-381 K2-381d 12.6373
K2-384 K2-384b 15.0276
K2-384 K2-384c 15.0276
K2-384 K2-384d 15.0276
K2-384 K2-384e 15.0276
K2-384 K2-384f 15.0276
K2-43 K2-43c 14.8215
K2-43 K2-43b 14.8215
K2-5 K2-5b 14.339
K2-5 K2-5c 14.339
K2-62 K2-62b 12.0433
K2-62 K2-62c 12.0433
K2-72 K2-72b 14.2789
K2-72 K2-72d 14.2789
K2-72 K2-72c 14.2789
K2-72 K2-72e 14.2789
K2-83 K2-83b 13.8042
K2-83 K2-83c 13.8042
K2-90 K2-90c 13.2292
K2-90 K2-90b 13.2292
"L 98-59" L98-59b 10.5976
"L 98-59" L98-59c 10.5976
"L 98-59" L98-59d 10.5976
"LHS 1140" LHS1140c 12.6706
"LHS 1140" LHS1140b 12.6706
"LHS 1678" LHS1678b 11.5403
"LHS 1678" LHS1678c 11.5403
"LP 791-18" LP791-18b 15.0715
"LP 791-18" LP791-18c 15.0715
"LTT 1445 A" LTT1445Ac 10.0469
"LTT 1445 A" LTT1445Ab 10.0469
"LTT 3780" LTT3780b 11.8465
"LTT 3780" LTT3780c 11.8465
TOI-1130 TOI-1130b 10.9028
TOI-1130 TOI-1130c 10.9028
TOI-1260 TOI-1260b 11.5743
TOI-1260 TOI-1260c 11.5743
TOI-1266 TOI-1266b 12.1222
TOI-1266 TOI-1266c 12.1222
TOI-1749 TOI-1749b 13.1798
TOI-1749 TOI-1749c 13.1798
TOI-1749 TOI-1749d 13.1798
TOI-178 TOI-178b 11.1523
TOI-178 TOI-178c 11.1523
TOI-178 TOI-178d 11.1523
TOI-178 TOI-178e 11.1523
TOI-178 TOI-178f 11.1523
TOI-178 TOI-178g 11.1523
TOI-270 TOI-270b 11.6306
TOI-270 TOI-270c 11.6306
TOI-270 TOI-270d 11.6306
TOI-700 TOI-700b 12.0665
TOI-700 TOI-700c 12.0665
TOI-700 TOI-700d 12.0665
TOI-776 TOI-776b 10.7409
TOI-776 TOI-776c 10.7409
TRAPPIST-1 TRAPPIST-1b 15.6451
TRAPPIST-1 TRAPPIST-1c 15.6451
TRAPPIST-1 TRAPPIST-1d 15.6451
TRAPPIST-1 TRAPPIST-1e 15.6451
TRAPPIST-1 TRAPPIST-1f 15.6451
TRAPPIST-1 TRAPPIST-1g 15.6451
TRAPPIST-1 TRAPPIST-1h 15.6451
